id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze,country,countrypopulation,countrygdp_per_capita
459485655,Gwanuk Kim,KOR,male,33076,1.77,90,wrestling,0,0,0,South Korea,50617045,27221.52405
874914826,Gwen Berry,USA,female,32688,1.76,88,athletics,0,0,0,United States,321418820,56115.71843
292122842,Gwen Jorgensen,USA,female,31527,1.78,58,triathlon,1,0,0,United States,321418820,56115.71843
3322965,Gwladys Epangue,FRA,female,30543,1.78,88,taekwondo,0,0,0,France,66808385,36205.5681
302633574,Gwladys Nocera Pucet,FRA,female,27536,1.68,62,golf,0,0,0,France,66808385,36205.5681
42510155,Gyorgyi Zsivoczky-Farkas,HUN,female,31091,1.7,60,athletics,0,0,0,Hungary,9844686,12363.54346
301226095,Ha Na Kim,KOR,female,32869,1.72,55,badminton,0,0,0,South Korea,50617045,27221.52405
553897082,Habib de Las Salas de la Rosa,COL,male,31886,1.59,56,weightlifting,0,0,0,Colombia,48228704,6056.147717
962588204,Habiba Ghribi,TUN,female,30781,1.74,51,athletics,0,0,0,Tunisia,11107800,3872.512084
585034068,Habibollah Jomeh Akhlaghi,IRI,male,31262,1.75,90,wrestling,0,0,0,Iran,79109272,
204254643,Habitam Alemu,ETH,female,35620,1.71,52,athletics,0,0,0,Ethiopia,99390750,619.1694065
753076822,Haby Niare,FRA,female,34146,1.76,66,taekwondo,0,1,0,France,66808385,36205.5681
755601006,Hadir Mekhimar,EGY,female,35759,1.65,62,shooting,0,0,0,Egypt,91508084,3614.746766
472316019,Hae Mi Park,KOR,female,32904,1.68,55,shooting,0,0,0,South Korea,50617045,27221.52405
402157963,Hae Ran Kim,KOR,female,30757,1.68,57,volleyball,0,0,0,South Korea,50617045,27221.52405
188491847,Haein Sim,KOR,female,32081,1.78,66,handball,0,0,0,South Korea,50617045,27221.52405
16804644,Haeun Yang,KOR,female,34390,1.71,58,table tennis,0,0,0,South Korea,50617045,27221.52405
861637149,Hafifi Bin Mansor Mohd,MAS,male,33174,1.66,69,weightlifting,0,0,0,Malaysia,30331007,9768.32686
718811090,Hafize Sahin,TUR,female,33604,1.7,63,wrestling,0,0,0,Turkey,78665830,9125.68759
177699282,Hafsatu Kamara,SLE,female,33579,,,athletics,0,0,0,Sierra Leone,6453184,653.1318159
825962890,Hagen Pohle,GER,male,33668,1.78,64,athletics,0,0,0,Germany,81413145,41313.31399
461373663,Hagos Gebrhiwet,ETH,male,34465,1.71,56,athletics,0,0,1,Ethiopia,99390750,619.1694065
321494163,Haido Alexouli,GRE,female,33326,1.8,60,athletics,0,0,0,Greece,10823732,18002.23058
754025410,Haifeng Fu,CHN,male,30683,1.81,78,badminton,1,0,0,China,1371220000,8027.68381
148299848,Hailemariyam Amare,ETH,male,35483,1.75,64,athletics,0,0,0,Ethiopia,99390750,619.1694065
48011673,Haiping Liu,CHN,female,32297,1.73,69,canoe,0,0,0,China,1371220000,8027.68381
428133887,Hairim Song,KOR,female,31059,1.67,67,handball,0,0,0,South Korea,50617045,27221.52405
189517234,Haislan Antonio Veranes Garcia,CAN,male,30379,1.75,66,wrestling,0,0,0,Canada,35851774,43248.52991
788703039,Haithem Fahmy Mahmoud,EGY,male,33504,1.54,59,wrestling,0,0,0,Egypt,91508084,3614.746766
997215061,Haiwei Chen,CHN,male,34698,1.88,78,fencing,0,0,0,China,1371220000,8027.68381
800071001,Haiyan Wu,CHN,female,34026,1.66,58,football,0,0,0,China,1371220000,8027.68381
354275948,Hajar Alkhaldi,BRN,female,34775,1.6,45,athletics,0,0,0,Bahrain,1377237,22600.2141
934255578,Haji Aliyev,AZE,male,33349,1.68,65,wrestling,0,0,1,Azerbaijan,9651349,5496.34464
931847337,Hakan Dahlby,SWE,male,24000,1.85,95,shooting,0,0,0,Sweden,9798871,50579.67365
9093283,Hakan Eresker,QAT,male,34520,1.71,,boxing,0,0,0,Qatar,2235355,73653.39443
983579784,Hakim Sadi,ALG,male,33922,1.76,56,athletics,0,0,0,Algeria,39666519,4206.031232
329066484,Haley Anderson,USA,female,33562,1.78,68,aquatics,0,0,0,United States,321418820,56115.71843
587562061,Haley Ruth Augello,USA,female,34624,1.61,54,wrestling,0,0,0,United States,321418820,56115.71843
853405739,Hali Flickinger,USA,female,34522,1.66,52,aquatics,0,0,0,United States,321418820,56115.71843
427032354,Halil Akkas,TUR,male,30498,1.75,58,athletics,0,0,0,Turkey,78665830,9125.68759
779373345,Halimah Nakaayi,UGA,female,34623,,,athletics,0,0,0,Uganda,39032383,705.2925695
556391321,Haline Scatrut,BRA,female,33825,1.69,64,rugby sevens,0,0,0,Brazil,207847528,8538.589975
911111392,Hamad Ali Mohamed A Al Attiyah,QAT,male,34873,1.93,89,equestrian,0,0,0,Qatar,2235355,73653.39443
1664652,Hamada Mohamed,EGY,male,33899,1.75,65,athletics,0,0,0,Egypt,91508084,3614.746766
513005380,Hamada Talat,EGY,male,29646,1.76,77,shooting,0,0,0,Egypt,91508084,3614.746766
323154002,Hamdan Bayusuf,KEN,male,34606,1.82,64,aquatics,0,0,0,Kenya,46050302,1376.712829
443393856,Hamdy Moustafa Elsaid Abdelwahab,EGY,male,33991,1.71,96,wrestling,0,0,0,Egypt,91508084,3614.746766
550868905,Hamed Said Alkhatri,OMA,male,31191,1.68,90,shooting,0,0,0,Oman,4490541,15550.67625
531580523,Hamid Ezzine,MAR,male,30594,1.74,62,athletics,0,0,0,Morocco,34377511,2878.201342
541385072,Hamid Mohammad Soryan,IRI,male,31283,1.67,64,wrestling,0,0,0,Iran,79109272,
614655928,Hamid Sintes,ALG,male,29441,1.69,67,fencing,0,0,0,Algeria,39666519,4206.031232
392547032,Hamidreza Zooravand,IRI,male,32886,1.76,66,athletics,0,0,0,Iran,79109272,
296637442,Hamish Bond,NZL,male,31456,1.89,89,rowing,1,0,0,New Zealand,4595700,37807.96728
661625599,Hamish Carson,NZL,male,32448,1.81,66,athletics,0,0,0,New Zealand,4595700,37807.96728
738803068,Hamish Peacock,AUS,male,33161,1.85,98,athletics,0,0,0,Australia,23781169,56310.96299
927364164,Hammadi Ahmed,IRQ,male,32799,1.77,76,football,0,0,0,Iraq,36423395,4943.760388
589649660,Hamza Alic,BIH,male,28875,1.86,130,athletics,0,0,0,Bosnia and Herzegovina,3810416,4249.330313
668979909,Hamza Bouras,ALG,male,32127,1.7,73,sailing,0,0,0,Algeria,39666519,4206.031232
672961939,Hamza Touba,GER,male,33548,1.7,,boxing,0,0,0,Germany,81413145,41313.31399
857979045,Hamzeh Zarini,IRI,male,31338,1.98,98,volleyball,0,0,0,Iran,79109272,
360154059,Han Na Gwon,KOR,female,32834,1.73,65,handball,0,0,0,South Korea,50617045,27221.52405
474085303,Hana Matelova,CZE,female,33032,1.6,53,table tennis,0,0,0,Czech Republic,10551219,17548.33821
103924089,Hanami Sekine,JPN,female,35121,1.56,43,athletics,0,0,0,Japan,126958472,32477.21514
98339799,Haneen Ibrahim,SUD,female,36706,1.54,47,aquatics,0,0,0,Sudan,40234882,2414.723601
987592128,Hang Yu Sze,HKG,female,32207,1.68,63,aquatics,0,0,0,Hong Kong,7305700,42327.83996
56781844,Haniel Langaro,BRA,male,34765,1.97,104,handball,0,0,0,Brazil,207847528,8538.589975
281021453,Hanna Blomstrand,SWE,female,35302,1.73,72,handball,0,0,0,Sweden,9798871,50579.67365
868683543,Hanna Dudzenkova,BLR,female,34461,1.67,51,gymnastics,0,0,0,Belarus,9513000,5740.456495
648984551,Hanna Harchonak,BLR,female,33645,1.62,51,gymnastics,0,0,0,Belarus,9513000,5740.456495
